更新时间: 2026-08-22 00:31:05（北京时间）

更新时间,#genre#
2026-08-22 00:31:05,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
广东卫视,http://58.19.32.207:4022/rtp/239.254.96.140:8914$湖北电信
广西卫视,http://61.159.134.160:4022/rtp/238.255.2.64:5999$贵州电信
广西卫视,http://58.19.32.207:4022/rtp/239.69.1.191:10788$湖北电信
东南卫视,http://61.159.134.160:4022/rtp/238.255.2.103:5999$贵州电信
东南卫视,http://58.19.32.207:4022/rtp/239.69.1.108:10286$湖北电信
海南卫视,http://61.159.134.160:4022/rtp/238.255.2.58:5999$贵州电信
海南卫视,http://58.19.32.207:4022/rtp/239.69.1.151:10542$湖北电信
河北卫视,http://61.159.134.160:4022/rtp/238.255.2.77:5999$贵州电信
河北卫视,http://58.19.32.207:4022/rtp/239.254.96.113:9616$湖北电信
河南卫视,http://61.159.134.160:4022/rtp/238.255.2.74:5999$贵州电信
河南卫视,http://58.19.32.207:4022/rtp/239.69.1.168:10644$湖北电信
湖北卫视,http://61.159.134.160:4022/rtp/238.255.2.102:5999$贵州电信
湖北卫视,http://58.19.32.207:4022/rtp/239.254.96.115:8664$湖北电信
江西卫视,http://61.159.134.160:4022/rtp/238.255.2.94:5999$贵州电信
江西卫视,http://58.19.32.207:4022/rtp/239.69.1.126:10394$湖北电信
四川卫视,http://61.159.134.160:4022/rtp/238.255.2.76:5999$贵州电信
四川卫视,http://58.19.32.207:4022/rtp/239.69.1.169:10650$湖北电信
重庆卫视,http://61.159.134.160:4022/rtp/238.255.2.78:5999$贵州电信
重庆卫视,http://58.19.32.207:4022/rtp/239.69.1.149:10530$湖北电信
贵州卫视,http://61.159.134.160:4022/rtp/238.255.2.1:5999$贵州电信
贵州卫视,http://58.19.32.207:4022/rtp/239.69.1.150:10536$湖北电信
云南卫视,http://61.159.134.160:4022/rtp/238.255.2.63:5999$贵州电信
天津卫视,http://61.159.134.160:4022/rtp/238.255.2.99:5999$贵州电信
天津卫视,http://58.19.32.207:4022/rtp/239.69.1.68:10048$湖北电信
安徽卫视,http://61.159.134.160:4022/rtp/238.255.2.101:5999$贵州电信
安徽卫视,http://58.19.32.207:4022/rtp/239.69.1.70:10060$湖北电信
山东卫视,http://61.159.134.160:4022/rtp/238.255.2.97:5999$贵州电信
山东卫视,http://58.19.32.207:4022/rtp/239.69.1.69:10054$湖北电信
辽宁卫视,http://61.159.134.160:4022/rtp/238.255.2.69:5999$贵州电信
辽宁卫视,http://58.19.32.207:4022/rtp/239.69.1.71:10066$湖北电信
黑龙江卫视,http://61.159.134.160:4022/rtp/238.255.2.96:5999$贵州电信
黑龙江卫视,http://58.19.32.207:4022/rtp/239.254.96.138:8902$湖北电信
吉林卫视,http://61.159.134.160:4022/rtp/238.255.2.95:5999$贵州电信
吉林卫视,http://58.19.32.207:4022/rtp/239.69.1.212:10914$湖北电信
内蒙古卫视,http://61.159.134.160:4022/rtp/238.255.2.53:5999$贵州电信
宁夏卫视,http://61.159.134.160:4022/rtp/238.255.2.75:5999$贵州电信
山西卫视,http://61.159.134.160:4022/rtp/238.255.2.71:5999$贵州电信
陕西卫视,http://61.159.134.160:4022/rtp/238.255.2.72:5999$贵州电信
甘肃卫视,http://61.159.134.160:4022/rtp/238.255.2.73:5999$贵州电信
青海卫视,http://61.159.134.160:4022/rtp/238.255.2.51:5999$贵州电信
新疆卫视,http://61.159.134.160:4022/rtp/238.255.2.163:5999$贵州电信
新疆卫视,http://61.159.134.160:4022/rtp/238.255.2.66:5999$贵州电信
西藏卫视,http://61.159.134.160:4022/rtp/238.255.2.202:5999$贵州电信
西藏卫视,http://61.159.134.160:4022/rtp/238.255.2.65:5999$贵州电信
三沙卫视,http://61.159.134.160:4022/rtp/238.255.2.203:5999$贵州电信
兵团卫视,http://61.159.134.160:4022/rtp/238.255.2.67:5999$贵州电信
延边卫视,http://61.159.134.160:4022/rtp/238.255.2.204:5999$贵州电信
安多卫视,http://61.159.134.160:4022/rtp/238.255.2.189:5999$贵州电信
康巴卫视,http://61.159.134.160:4022/rtp/238.255.2.140:5999$贵州电信
农林卫视,http://61.159.134.160:4022/rtp/238.255.2.120:5999$贵州电信
山东教育卫视,http://61.159.134.160:4022/rtp/238.255.2.79:5999$贵州电信
中国教育1台,http://61.159.134.160:4022/rtp/238.255.2.105:5999$贵州电信
中国教育1台,http://58.19.32.207:4022/rtp/239.69.1.110:10298$湖北电信
中国教育2台,http://61.159.134.160:4022/rtp/238.255.2.221:5999$贵州电信
中国教育4台,http://61.159.134.160:4022/rtp/238.255.2.222:5999$贵州电信

数字频道,#genre#
CHC动作电影,http://58.19.32.207:4022/rtp/239.69.1.242:11094$湖北电信
CHC家庭影院,http://58.19.32.207:4022/rtp/239.69.1.243:11100$湖北电信
CHC影迷电影,http://58.19.32.207:4022/rtp/239.69.1.241:11088$湖北电信
金鹰纪实,http://61.159.134.160:4022/rtp/238.255.2.108:5999$贵州电信
金鹰纪实,http://58.19.32.207:4022/rtp/239.69.1.109:10292$湖北电信
纪实科教,http://61.159.134.160:4022/rtp/238.255.2.107:5999$贵州电信
快乐垂钓,http://58.19.32.207:4022/rtp/239.69.1.142:10488$湖北电信
茶频道,http://58.19.32.207:4022/rtp/239.69.1.144:10500$湖北电信
天元围棋,http://61.159.134.160:4022/rtp/238.255.2.7:5999$贵州电信
汽摩,http://61.159.134.160:4022/rtp/238.255.2.148:5999$贵州电信
梨园频道,http://58.19.32.207:4022/rtp/239.69.1.33:9838$湖北电信
武术世界,http://58.19.32.207:4022/rtp/239.69.1.47:9922$湖北电信
卡酷少儿,http://61.159.134.160:4022/rtp/238.255.2.80:5999$贵州电信
卡酷少儿,http://61.159.134.160:4022/rtp/238.255.2.106:5999$贵州电信
卡酷少儿,http://58.19.32.207:4022/rtp/239.69.1.193:10800$湖北电信
金鹰卡通,http://61.159.134.160:4022/rtp/238.255.2.55:5999$贵州电信
金鹰卡通,http://58.19.32.207:4022/rtp/239.69.1.248:11130$湖北电信
优漫卡通,http://61.159.134.160:4022/rtp/238.255.2.57:5999$贵州电信
哈哈炫动,http://61.159.134.160:4022/rtp/238.255.2.56:5999$贵州电信
嘉佳卡通,http://61.159.134.160:4022/rtp/238.255.2.62:5999$贵州电信
中国交通,http://61.159.134.160:4022/rtp/238.255.2.220:5999$贵州电信

湖北,#genre#
湖北公共新闻,http://58.19.32.207:4022/rtp/239.69.1.40:9880$湖北电信
湖北经视频道,http://58.19.32.207:4022/rtp/239.69.1.41:9886$湖北电信
湖北综合频道,http://58.19.32.207:4022/rtp/239.69.1.42:9892$湖北电信
湖北垄上频道,http://58.19.32.207:4022/rtp/239.69.1.43:9898$湖北电信
湖北影视频道,http://58.19.32.207:4022/rtp/239.69.1.204:10866$湖北电信
湖北生活频道,http://58.19.32.207:4022/rtp/239.69.1.205:10872$湖北电信
湖北教育频道,http://58.19.32.207:4022/rtp/239.69.1.206:10878$湖北电信
武汉新闻综合,http://58.19.32.207:4022/rtp/239.69.1.145:10506$湖北电信
武汉电视剧,http://58.19.32.207:4022/rtp/239.69.1.146:10512$湖北电信
武汉科技生活,http://58.19.32.207:4022/rtp/239.69.1.251:11148$湖北电信
武汉文体频道,http://58.19.32.207:4022/rtp/239.69.1.147:10518$湖北电信
武汉教育频道,http://58.19.32.207:4022/rtp/239.69.1.60:9994$湖北电信
阳新综合,http://58.19.32.207:4022/rtp/239.69.1.34:9844$湖北电信
房县综合,http://58.19.32.207:4022/rtp/239.69.1.192:10794$湖北电信
蔡甸综合,http://58.19.32.207:4022/rtp/239.69.1.245:11112$湖北电信

